"Market-wise, Commodity-wise Daily Report on: 19-Dec-2025"

Commodity,Arrivals,Unit of Arrivals,Variety,Grade,Minimum Price,Maximum Price,Modal Price,Unit of Price
State Name : Andhra Pradesh
NIL Transaction - No Arrivals
Market Name : Gudlavalleru APMC
Not Reported
Market Name : Gudur APMC
NIL Transaction - No Arrivals
Market Name : Guntakal APMC
Not Reported
Market Name : Guntur APMC
Dry Chillies,183.84000000000003,Metric Tonnes,Red Top,FAQ,10000.0,16500.0,15500.0,Rs./Quintal
Dry Chillies,297.76,Metric Tonnes,Red,FAQ,10000.0,17200.0,16600.0,Rs./Quintal
Dry Chillies,360.44000000000005,Metric Tonnes,White,Grade Range-3,5000.0,7700.0,6500.0,Rs./Quintal
Dry Chillies,621.2,Metric Tonnes,Red New,FAQ,10000.0,17500.0,16300.0,Rs./Quintal
Dry Chillies,64.08,Metric Tonnes,Guntur,FAQ,10500.0,16800.0,16500.0,Rs./Quintal
Market Name : Gurazala APMC
Chili Red,70.4,Metric Tonnes,Red,Local,9000.0,15000.0,14000.0,Rs./Quintal
Chili Red,158.0,Metric Tonnes,Red,Grade Range-1,10000.0,17400.0,16000.0,Rs./Quintal
Market Name : Hindupur APMC
Not Reported
Market Name : Hiramandalam APMC
NIL Transaction - No Arrivals
Market Name : Ichapuram APMC
Not Reported
Market Name : Ipur APMC
NIL Transaction - No Arrivals
Market Name : Jaggampet APMC
NIL Transaction - No Arrivals
Market Name : Jaggayyapeta APMC
NIL Transaction - No Arrivals
Market Name : Jalumuru APMC
Not Reported
Market Name : Jammalamadugu APMC
NIL Transaction - No Arrivals
Market Name : Kadiri APMC
NIL Transaction - No Arrivals
Market Name : Kaikaluru APMC
NIL Transaction - No Arrivals
Market Name : Kakinada APMC
NIL Transaction - No Arrivals
"Market Name : Kakinada(R.T.C) ,RBZ APMC"
Not Reported
Market Name : Kalidindi APMC
NIL Transaction - No Arrivals
Market Name : Kalikiri APMC
Tomato,19.0,Metric Tonnes,Hybrid,FAQ,3600.0,4400.0,4000.0,Rs./Quintal
Market Name : Kalyandurg APMC
NIL Transaction - No Arrivals
Market Name : Kamalapuram APMC
NIL Transaction - No Arrivals
"Market Name : Kancharlapalem,RBZ APMC"
Not Reported
Market Name : Kanchekacherla APMC
NIL Transaction - No Arrivals
Market Name : Kanchili APMC
NIL Transaction - No Arrivals
Market Name : Kandukur APMC
NIL Transaction - No Arrivals
Market Name : Kanigiri APMC
NIL Transaction - No Arrivals
Market Name : Karapa APMC
NIL Transaction - No Arrivals
Market Name : Kavali APMC
NIL Transaction - No Arrivals
"Market Name : Kedareshwari peta, Vijayawada,RBZ APMC"
Not Reported
Market Name : Kodumur APMC
Not Reported
Market Name : Koduru APMC
NIL Transaction - No Arrivals
Market Name : Koilkunta APMC
NIL Transaction - No Arrivals
Market Name : Kondapi APMC
NIL Transaction - No Arrivals
Market Name : Kothabommali APMC
NIL Transaction - No Arrivals
"Market Name : Kothapatnam B.Stand,RBZ APMC"
Not Reported
Market Name : Kothapeta APMC
Not Reported
Market Name : Kothavalasa APMC
Not Reported
"Market Name : Kothpet,RBZ APMC"
Not Reported
Market Name : Kovur APMC
NIL Transaction - No Arrivals
Market Name : Kovvur APMC
NIL Transaction - No Arrivals
Market Name : Krosuru APMC
NIL Transaction - No Arrivals
Market Name : Kuchinapudi APMC
NIL Transaction - No Arrivals
Market Name : Kuppam APMC
Not Reported
Market Name : Kurnool APMC
NIL Transaction - Other (Amavasya)
Market Name : Kurnool(Rythu Bazar) APMC
Not Reported
Market Name : Kurupam APMC
NIL Transaction - No Arrivals
Market Name : Lakkireddipally APMC
NIL Transaction - No Arrivals
"Market Name : Lawyer pet (Sai tmpl),RBZ APMC"
Not Reported
"Market Name : M.V.P.Colony,RBZ,Visakhapatnam APMC"
Not Reported
Market Name : Macharla APMC
NIL Transaction - No Arrivals
Market Name : Machilipatnam APMC
NIL Transaction - No Arrivals
Market Name : Madakasira APMC
Not Reported
Market Name : Madanapalli APMC
Tomato,102.0,Metric Tonnes,Local,FAQ,4200.0,5000.0,4700.0,Rs./Quintal
Market Name : Maddipadu APMC
NIL Transaction - No Arrivals
Market Name : Madygula APMC
NIL Transaction - No Arrivals
Market Name : Malleswaram APMC
NIL Transaction - No Arrivals
Market Name : Mandapeta APMC
NIL Transaction - No Arrivals
Market Name : Mangalagiri APMC
Not Reported
"Market Name : Mangalagiri(SLNS Temple),RBZ APMC"
Not Reported
Market Name : Mantralayam APMC
Not Reported
Market Name : Markapur APMC
NIL Transaction - No Arrivals
"Market Name : Marripalem,RBZ,Visakhapatnam APMC"
Not Reported
Market Name : Martur APMC
Not Reported
Market Name : Merakamudidam APMC
Not Reported
Market Name : Movva Hqs APMC
NIL Transaction - No Arrivals
"Market Name : Mulagada,Visakhapatnam APMC"
Not Reported
Market Name : Mulakalacheruvu APMC
Not Reported
Market Name : Mummidivaram APMC
NIL Transaction - No Arrivals
Market Name : Mydukur APMC
NIL Transaction - No Arrivals
Market Name : Mylavaram APMC
NIL Transaction - No Arrivals
Market Name : Nagalapuram APMC
NIL Transaction - No Arrivals
Market Name : Nagaram APMC
NIL Transaction - No Arrivals
Market Name : Nagari APMC
Not Reported
Market Name : Naidupet APMC
NIL Transaction - No Arrivals
Market Name : Nandigama APMC
Not Reported
Market Name : Nandikotkur APMC
NIL Transaction - No Arrivals
Market Name : Nandyal APMC
Not Reported
Market Name : Narasannapet APMC
NIL Transaction - No Arrivals
Market Name : Narasaraopet APMC
Not Reported
Market Name : Narsapuram APMC
Not Reported
Market Name : Narsipatnam APMC
NIL Transaction - No Arrivals
Market Name : Nellore APMC
Not Reported
"Market Name : Nellore(Play Ground),RBZ APMC"
Not Reported
Market Name : Nidadavolu APMC
NIL Transaction - No Arrivals
"Market Name : Nr. Co-op Central Bank(Ten),RBZ APMC"
Not Reported
Market Name : Nuzvid APMC
NIL Transaction - No Arrivals
"Market Name : Old Maharaj Hospital,RBZ,Vizianagaram APMC"
Not Reported
Market Name : Ongole APMC
NIL Transaction - No Arrivals
Market Name : Ongole(Rythu Bazar) APMC
Not Reported
"Market Name : Opp:Swami Theatre, ,RBZ,Guntur APMC"
Not Reported
"Market Name : P. Ramacharyulu Park,RBZ APMC"
Not Reported
Market Name : Paderu APMC
Turmeric,1.5,Metric Tonnes,Local,Grade Range-2,11000.0,11000.0,11000.0,Rs./Quintal
Market Name : Pakala APMC
NIL Transaction - No Arrivals
Market Name : Palakole APMC
NIL Transaction - No Arrivals
Market Name : Palakonda APMC
Not Reported
Market Name : Palamaner APMC
Brinjal,1.34,Metric Tonnes,Brinjal,FAQ,2000.0,3000.0,2500.0,Rs./Quintal
Cabbage,3.66,Metric Tonnes,Cabbage,FAQ,1200.0,1800.0,1600.0,Rs./Quintal
Cauliflower,4.7,Metric Tonnes,Cauliflower,FAQ,1200.0,1600.0,1400.0,Rs./Quintal
Green Chilli,0.6000000000000001,Metric Tonnes,Green Chilly,FAQ,3000.0,4000.0,3500.0,Rs./Quintal
Potato,1.4400000000000002,Metric Tonnes,Potato,FAQ,1200.0,2000.0,1600.0,Rs./Quintal
Ridgeguard(Tori),1.1,Metric Tonnes,Ridgeguard(Tori),FAQ,3000.0,4000.0,3500.0,Rs./Quintal
Tomato,21.0,Metric Tonnes,Tomato,FAQ,4000.0,4800.0,4400.0,Rs./Quintal
Market Name : Palasa APMC
Not Reported
Market Name : Pamarru APMC
NIL Transaction - No Arrivals
Market Name : Panyam APMC
Not Reported
Market Name : Parchur APMC
NIL Transaction - No Arrivals
Market Name : Parvathipuram APMC
NIL Transaction - No Arrivals
"Market Name : Patamata,RBZ APMC"
Not Reported
Market Name : Pathapatnam APMC
Not Reported
Market Name : Pattikonda APMC
Tomato,144.6,Metric Tonnes,Other,FAQ,2300.0,3200.0,2700.0,Rs./Quintal
Market Name : Payakaraopeta APMC
Not Reported
"Market Name : Pedagantiyada,RBZ,Visakhapatnam APMC"
Not Reported
Market Name : Pedana APMC
Not Reported
Market Name : Peddapuram APMC
NIL Transaction - No Arrivals
"Market Name : Peddavaltair,RBZ,Visakhapatnam APMC"
Not Reported
Market Name : Penamaluru APMC
NIL Transaction - No Arrivals
"Market Name : Pendurthi,RBZ APMC"
Not Reported
Market Name : Penugonda APMC
Not Reported
Market Name : Penukonda APMC
NIL Transaction - No Arrivals
Market Name : Penumuru APMC
Not Reported
Market Name : Phirangipuram APMC
NIL Transaction - No Arrivals
Market Name : Pidugurala APMC
Not Reported
Market Name : Pidugurala(Palnadu) APMC
Not Reported
Market Name : Piler APMC
NIL Transaction - No Arrivals
Market Name : Pithapuram APMC
NIL Transaction - No Arrivals
Market Name : Podili APMC
NIL Transaction - No Arrivals
Market Name : Polavaram APMC
NIL Transaction - No Arrivals
Market Name : Ponduru APMC
NIL Transaction - No Arrivals
Market Name : Ponnur APMC
NIL Transaction - No Arrivals
Market Name : Prathipadu APMC
Not Reported
Market Name : Prattipadu APMC
NIL Transaction - No Arrivals
Market Name : Proddatur APMC
NIL Transaction - No Arrivals
"Market Name : Proddatur,RBZ APMC"
Not Reported
Market Name : Pulivendala APMC
Mousambi(Sweet Lime),6.56,Metric Tonnes,Mousambi,Grade B,500.0,800.0,800.0,Rs./Quintal
Market Name : Punganur APMC
Tomato,57.900000000000006,Metric Tonnes,Hybrid,FAQ,2140.0,4140.0,3140.0,Rs./Quintal
Market Name : Pusapatirega APMC
Not Reported
Market Name : Puttaparthi  APMC
NIL Transaction - No Arrivals
Market Name : Puttur APMC
NIL Transaction - No Arrivals
"Market Name : R and B Guest House,RBZ,Vizianagaram APMC"
Not Reported
Market Name : RAYADURG APMC
NIL Transaction - No Arrivals
Market Name : Rajahmundry APMC
NIL Transaction - No Arrivals
"Market Name : Rajahmundry(Nataraj),RBZ APMC"
Not Reported
Market Name : Rajam APMC
NIL Transaction - No Arrivals
Market Name : Rajampet APMC
NIL Transaction - No Arrivals
Market Name : Rajanagaram APMC
Not Reported
Market Name : Rajupalem APMC
Not Reported
Market Name : Ramachandrapuram APMC
NIL Transaction - No Arrivals
Market Name : Rampachodvaram APMC
Paddy(Common),3.0,Metric Tonnes,1001,Grade Range-2,2370.0,2370.0,2370.0,Rs./Quintal
Market Name : Rapthadu APMC
Not Reported
Market Name : Rapur APMC
Wood,17.0,Metric Tonnes,Casuarina,Local,5600.0,6000.0,5800.0,Rs./Quintal
Wood,84.0,Metric Tonnes,Eucalyptus,Local,5600.0,6000.0,5800.0,Rs./Quintal
"Market Name : Ravulapalem(MY),RBZ APMC"
Not Reported
Market Name : Ravulapelem APMC
Banana,1.1,Metric Tonnes,Desi(Bontha),Local,1600.0,2400.0,1900.0,Rs./Quintal
Banana,1.6,Metric Tonnes,Bhushavali(Pacha),Local,1200.0,1800.0,1600.0,Rs./Quintal
Banana,0.5,Metric Tonnes,Amruthapani,Local,2100.0,3100.0,2900.0,Rs./Quintal
Banana,4.9,Metric Tonnes,Chakkarakeli(Red),Local,2300.0,3100.0,2900.0,Rs./Quintal
Banana,11.0,Metric Tonnes,Chakkarakeli(White),Local,2200.0,3200.0,2900.0,Rs./Quintal
Banana,35.6,Metric Tonnes,Karpura,Local,1300.0,2300.0,1900.0,Rs./Quintal
Market Name : Rayachoti APMC
NIL Transaction - No Arrivals
Market Name : Razole APMC
NIL Transaction - No Arrivals
Market Name : Repalli APMC
NIL Transaction - No Arrivals
"Market Name : Ring Road Jn.,RBZ, Vizianagaram APMC"
Not Reported
Market Name : Rompicherla APMC
Not Reported
Market Name : Rompicherla APMC
NIL Transaction - No Arrivals
Market Name : S.R.Puram APMC
NIL Transaction - No Arrivals
Market Name : Saluru APMC
NIL Transaction - No Arrivals
Market Name : Samalkot APMC
NIL Transaction - No Arrivals
Market Name : Sampara APMC
Not Reported
Market Name : Santhamaguluru APMC
NIL Transaction - No Arrivals
Market Name : Sarvepalli APMC
Lime,19.5,Metric Tonnes,Lime,Grade A,800.0,1500.0,1200.0,Rs./Quintal
Market Name : Sattenapalli APMC
Not Reported
"Market Name : Seethammadhara,RBZ,Visakhapatnam APMC"
Not Reported
Market Name : Siddavatam APMC
NIL Transaction - No Arrivals
Market Name : Siddout APMC
Not Reported
Market Name : Simhadhripuram APMC
NIL Transaction - No Arrivals
Market Name : Singanamala APMC
Not Reported
Market Name : Somala APMC
NIL Transaction - No Arrivals
Market Name : Sompeta APMC
Not Reported
Market Name : Srikakulam APMC
NIL Transaction - No Arrivals
Market Name : Srikalahasti APMC
NIL Transaction - No Arrivals
Market Name : Sullurpet APMC
NIL Transaction - No Arrivals
Market Name : Tadepalligudem APMC
NIL Transaction - No Arrivals
Market Name : Tadikonda APMC
Not Reported
Market Name : Tadipatri APMC
NIL Transaction - No Arrivals
Market Name : Tanuku APMC
NIL Transaction - No Arrivals
Market Name : Tekkali APMC
Not Reported
Market Name : Tellarevu APMC
Not Reported
Market Name : Tenakallu APMC
NIL Transaction - No Arrivals
Market Name : Tenali APMC
Lemon,21.35,Metric Tonnes,Lemon,Grade A,800.0,1500.0,1000.0,Rs./Quintal
Market Name : Thambalapalli APMC
Not Reported
Market Name : Thiruchanur APMC
NIL Transaction - No Arrivals
Market Name : Thottambedu APMC
Not Reported
Market Name : Tirupati APMC
Not Reported
Market Name : Tiruvuru APMC
NIL Transaction - No Arrivals
Market Name : Tuni APMC
NIL Transaction - No Arrivals
Market Name : Udayagiri APMC
NIL Transaction - No Arrivals
Market Name : Undi APMC
NIL Transaction - No Arrivals
Market Name : Ungatur APMC
NIL Transaction - No Arrivals
Market Name : Urvakonda APMC
NIL Transaction - No Arrivals
Market Name : V.Kota Mkt.Yard APMC
Not Reported
Market Name : Vakadu APMC
NIL Transaction - No Arrivals
Market Name : Valmikipuram APMC
Tomato,46.225,Metric Tonnes,Local,FAQ,3400.0,3800.0,3600.0,Rs./Quintal
Market Name : Vayalapadu APMC
Not Reported
Market Name : Vemuru APMC
Not Reported
Market Name : Venkatagiri APMC
NIL Transaction - No Arrivals
Market Name : Vepanjari APMC
Not Reported
Market Name : Vijayanagaram APMC
Not Reported
Market Name : Vijayanagaram(Rythu Bazar) APMC
Not Reported
Market Name : Vijayawada APMC
NIL Transaction - No Arrivals
"Market Name : Vijayawada(S.Maidan),RBZ APMC"
Not Reported
Market Name : Vinukonda APMC
NIL Transaction - No Arrivals
Market Name : Visakhapatnam APMC
NIL Transaction - No Arrivals
Market Name : Vuyyur APMC
NIL Transaction - No Arrivals
Market Name : Yellamanchili APMC
NIL Transaction - No Arrivals
Market Name : Yemmiganur APMC
Not Reported
Market Name : Yerragondapalem APMC
NIL Transaction - No Arrivals
Market Name : Yerraguntla APMC
NIL Transaction - No Arrivals
